game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number
2023_17_NYJ_CLE,2023-12-28,Thursday,CLE,NYJ,4,4,6.5,33.5,-11.497894008781788,6.079664451085584,P.Walker,Z.Wilson,-15.92073189160169,-4.710365945800845
2023_17_DET_DAL,2023-12-30,Saturday,DAL,DET,6,6,5.5,53.0,9.344454280595329,1.9559919753244053,D.Prescott,J.Goff,9.045288873536606,7.272644436768303
2023_17_MIA_BAL,2023-12-31,Sunday,BAL,MIA,7,6,3.0,47.0,2.989909877997558,-5.690961995424949,L.Jackson,T.Tagovailoa,10.33769844168819,6.668849220844095
2023_17_NE_BUF,2023-12-31,Sunday,BUF,NE,7,8,15.0,40.0,3.910343038790213,-3.376881580392796,J.Allen,M.Jones,8.944051187448691,11.972025593724346
2023_17_ATL_CHI,2023-12-31,Sunday,CHI,ATL,7,7,3.0,39.0,-4.320552446534119,-8.262083416339493,T.Bagent,D.Ridder,5.598357538071056,4.299178769035528
2023_17_TEN_HOU,2023-12-31,Sunday,HOU,TEN,7,7,5.0,44.0,-0.8417403092280402,2.3101990726684782,C.Stroud,M.Willis,-1.4951128136308358,1.752443593184582
2023_17_LV_IND,2023-12-31,Sunday,IND,LV,6,7,3.5,42.5,5.347171446074918,6.9360352623423065,G.Minshew,J.Garoppolo,0.06796275199829394,1.783981375999147
2023_17_CAR_JAX,2023-12-31,Sunday,JAX,CAR,7,7,3.5,38.0,0.6864894963804673,-2.7412091037928796,T.Lawrence,B.Young,5.084525168439029,4.292262584219515
2023_17_LA_NYG,2023-12-31,Sunday,NYG,LA,10,6,-6.0,43.5,5.710879029829371,1.2017474275668576,T.Taylor,M.Stafford,6.165958170528196,0.08297908526409792
2023_17_ARI_PHI,2023-12-31,Sunday,PHI,ARI,7,6,12.0,48.0,-4.993067541735115,7.914070465666182,J.Hurts,J.Dobbs,-11.250311439135615,0.37484428043219253
2023_17_NO_TB,2023-12-31,Sunday,TB,NO,10,7,2.5,42.5,4.135417215929987,3.822197892118872,B.Mayfield,D.Carr,1.9700458920767976,2.2350229460383986
2023_17_SF_WAS,2023-12-31,Sunday,WAS,SF,6,7,-14.0,49.0,-10.522213098002961,-1.017740726111196,S.Howell,B.Purdy,-7.847645803626083,-10.923822901813041
2023_17_PIT_SEA,2023-12-31,Sunday,SEA,PIT,8,7,4.5,40.5,-4.6232400948942995,2.7260362724255778,G.Smith,K.Pickett,-5.692449799054195,-0.5962248995270976
2023_17_LAC_DEN,2023-12-31,Sunday,DEN,LAC,8,7,3.5,39.5,-5.006339631272752,4.799283111991755,R.Wilson,J.Herbert,-8.148796174998825,-2.3243980874994126
2023_17_CIN_KC,2023-12-31,Sunday,KC,CIN,8,6,7.5,46.0,-5.5710106831344675,14.946508509483767,P.Mahomes,J.Burrow,-18.860692624352552,-5.680346312176276
2023_17_GB_MIN,2023-12-31,Sunday,MIN,GB,7,7,1.0,42.5,-3.1733106582397994,4.98920130461936,K.Cousins,J.Love,-6.505685394593478,-2.752842697296739
