game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number
2023_15_LAC_LV,2023-12-14,Thursday,LV,LAC,4,4,3.0,36.0,6.9360352623423065,4.799283111991755,J.Garoppolo,J.Herbert,3.7935787186162337,3.3967893593081167
2023_15_MIN_CIN,2023-12-16,Saturday,CIN,MIN,6,6,3.0,41.5,14.946508509483767,-3.1733106582397994,J.Burrow,K.Cousins,19.77664573598925,11.388322867994624
2023_15_PIT_IND,2023-12-16,Saturday,IND,PIT,9,6,1.5,41.5,5.347171446074918,2.7260362724255778,G.Minshew,K.Pickett,4.277961741915023,2.8889808709575115
2023_15_DEN_DET,2023-12-16,Saturday,DET,DEN,6,6,5.5,49.0,1.9559919753244053,-5.006339631272752,J.Goff,R.Wilson,8.61915817486284,7.05957908743142
2023_15_ATL_CAR,2023-12-17,Sunday,CAR,ATL,7,7,-3.0,32.0,-2.7412091037928796,-8.262083416339493,B.Young,D.Ridder,7.177700880812296,2.088850440406148
2023_15_CHI_CLE,2023-12-17,Sunday,CLE,CHI,7,7,3.0,38.0,-11.497894008781788,-4.320552446534119,P.Walker,T.Bagent,-5.520514993981987,-1.2602574969909934
2023_15_TB_GB,2023-12-17,Sunday,GB,TB,7,6,4.0,41.5,4.98920130461936,4.135417215929987,J.Love,B.Mayfield,2.510610656955056,3.2553053284775277
2023_15_NYJ_MIA,2023-12-17,Sunday,MIA,NYJ,7,6,7.5,36.0,-5.690961995424949,6.079664451085584,T.Tagovailoa,Z.Wilson,-10.113799878244851,-1.3068999391224256
2023_15_KC_NE,2023-12-17,Sunday,NE,KC,7,10,-10.0,39.5,-3.376881580392796,-5.5710106831344675,M.Jones,P.Mahomes,3.850955671007354,-3.074522164496323
2023_15_NYG_NO,2023-12-17,Sunday,NO,NYG,6,7,6.0,39.5,3.822197892118872,5.710879029829371,D.Carr,T.Taylor,-0.23185456944481642,2.8840727152775916
2023_15_HOU_TEN,2023-12-17,Sunday,TEN,HOU,7,6,3.0,38.0,2.3101990726684782,-0.8417403092280402,M.Willis,C.Stroud,4.808765950162201,3.9043829750811003
2023_15_SF_ARI,2023-12-17,Sunday,ARI,SF,7,14,-12.5,48.0,7.914070465666182,-1.017740726111196,J.Dobbs,B.Purdy,10.58863776004306,-0.95568111997847
2023_15_WAS_LA,2023-12-17,Sunday,LA,WAS,14,7,6.5,48.5,1.2017474275668576,-10.522213098002961,M.Stafford,S.Howell,13.380787093835501,9.94039354691775
2023_15_DAL_BUF,2023-12-17,Sunday,BUF,DAL,7,7,2.0,49.5,3.910343038790213,9.344454280595329,J.Allen,D.Prescott,-3.7772846735394334,-0.8886423367697167
2023_15_BAL_JAX,2023-12-17,Sunday,JAX,BAL,7,7,-4.0,42.5,0.6864894963804673,2.989909877997558,T.Lawrence,L.Jackson,-0.6465938133514082,-2.3232969066757043
2023_15_PHI_SEA,2023-12-18,Monday,SEA,PHI,8,8,-5.0,46.0,-4.6232400948942995,-4.993067541735115,G.Smith,J.Hurts,2.0266540151064985,-1.4866729924467508
