game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number
2023_15_LAC_LV,2023-12-14,Thursday,LV,LAC,4,4,3.0,36.0,2.0691824750807584,5.0398819826269765,A.O'Connell,E.Stick,-1.3138729392805355,0.8430635303597322
2023_15_MIN_CIN,2023-12-16,Saturday,CIN,MIN,6,6,3.0,41.5,5.2418530692300145,0.6956192933086314,J.Browning,N.Mullens,6.203060344187065,4.601530172093533
2023_15_PIT_IND,2023-12-16,Saturday,IND,PIT,9,6,1.5,41.5,1.9993912110028722,1.3395711274653799,G.Minshew,M.Rudolph,2.316646651803175,1.9083233259015875
2023_15_DEN_DET,2023-12-16,Saturday,DET,DEN,6,6,5.5,49.0,-1.3829864212631264,-1.6432152702360519,J.Goff,R.Wilson,1.917055417238608,3.708527708619304
2023_15_ATL_CAR,2023-12-17,Sunday,CAR,ATL,7,7,-3.0,32.0,-0.37364187654123526,-4.373654585511311,B.Young,T.Heinicke,5.656839277235758,1.3284196386178788
2023_15_CHI_CLE,2023-12-17,Sunday,CLE,CHI,7,7,3.0,38.0,-2.9543465465855725,-4.0371635723005035,J.Flacco,J.Fields,2.7396435939806136,2.8698217969903066
2023_15_TB_GB,2023-12-17,Sunday,GB,TB,7,6,4.0,41.5,3.521093068923495,2.8881125703805495,J.Love,B.Mayfield,2.289807066808628,3.144903533404314
2023_15_NYJ_MIA,2023-12-17,Sunday,MIA,NYJ,7,6,7.5,36.0,-1.2327813019879912,1.8410967858683875,T.Tagovailoa,T.Siemian,-1.417051519590696,3.0414742402046517
2023_15_KC_NE,2023-12-17,Sunday,NE,KC,7,10,-10.0,39.5,0.5397723760149411,-6.113565413992067,B.Zappe,P.Mahomes,8.31016435827269,-0.844917820863655
2023_15_NYG_NO,2023-12-17,Sunday,NO,NYG,6,7,6.0,39.5,-0.20422322059704712,2.308433199181124,D.Carr,T.Taylor,-0.8558298515124885,2.5720850742437555
2023_15_HOU_TEN,2023-12-17,Sunday,TEN,HOU,7,6,3.0,38.0,-0.1415510104569755,-1.0202104567910624,R.Tannehill,C.Keenum,2.5354860145997695,2.7677430072998845
2023_15_SF_ARI,2023-12-17,Sunday,ARI,SF,7,14,-12.5,48.0,5.628081188047911,-2.163611652838796,K.Murray,B.Purdy,9.44851940915239,-1.5257402954238053
2023_15_WAS_LA,2023-12-17,Sunday,LA,WAS,14,7,6.5,48.5,-0.30945487054323806,-5.035386169404756,M.Stafford,S.Howell,6.3827578671272,6.4413789335636
2023_15_DAL_BUF,2023-12-17,Sunday,BUF,DAL,7,7,2.0,49.5,-0.5408032621463619,3.7145369801378756,J.Allen,D.Prescott,-2.598513674018555,-0.2992568370092774
2023_15_BAL_JAX,2023-12-17,Sunday,JAX,BAL,7,7,-4.0,42.5,2.836917147719266,-3.438109198339881,T.Lawrence,L.Jackson,7.931852914324828,1.9659264571624142
2023_15_PHI_SEA,2023-12-18,Monday,SEA,PHI,8,8,-5.0,46.0,-2.7610200325739207,0.019751493536549702,G.Smith,J.Hurts,-1.1239449578447878,-3.061972478922394
