game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number
2023_14_NE_PIT,2023-12-07,Thursday,PIT,NE,4,4,6.0,30.0,1.3395711274653799,0.5397723760149411,M.Rudolph,B.Zappe,2.4566253197161214,4.2283126598580605
2023_14_TB_ATL,2023-12-10,Sunday,ATL,TB,7,7,1.5,41.5,-4.373654585511311,2.8881125703805495,T.Heinicke,B.Mayfield,-5.604940587626178,-2.052470293813089
2023_14_LA_BAL,2023-12-10,Sunday,BAL,LA,7,14,7.5,42.0,-3.438109198339881,-0.30945487054323806,L.Jackson,M.Stafford,-1.4718277595309601,3.01408612023452
2023_14_DET_CHI,2023-12-10,Sunday,CHI,DET,7,13,-3.0,44.5,-4.0371635723005035,-1.3829864212631264,J.Fields,J.Goff,-0.9973505827716944,-1.9986752913858472
2023_14_IND_CIN,2023-12-10,Sunday,CIN,IND,7,6,3.0,45.0,5.2418530692300145,1.9993912110028722,J.Browning,G.Minshew,4.899288426492825,3.9496442132464127
2023_14_JAX_CLE,2023-12-10,Sunday,CLE,JAX,6,7,2.5,37.5,-2.9543465465855725,2.836917147719266,J.Flacco,T.Lawrence,-4.134437126039156,-0.8172185630195781
2023_14_CAR_NO,2023-12-10,Sunday,NO,CAR,7,7,5.5,39.0,-0.20422322059704712,-0.37364187654123526,D.Carr,B.Young,1.8262452242098708,3.663122612104935
2023_14_HOU_NYJ,2023-12-10,Sunday,NYJ,HOU,7,7,-3.5,33.5,1.8410967858683875,-1.0202104567910624,T.Siemian,C.Keenum,4.518133810925132,0.509066905462566
2023_14_MIN_LV,2023-12-10,Sunday,LV,MIN,13,14,-3.0,40.5,2.0691824750807584,0.6956192933086314,A.O'Connell,N.Mullens,3.0303897500378096,0.015194875018904819
2023_14_SEA_SF,2023-12-10,Sunday,SF,SEA,10,7,14.5,44.5,-2.163611652838796,-2.7610200325739207,B.Purdy,G.Smith,2.2542349480008075,8.377117474000404
2023_14_BUF_KC,2023-12-10,Sunday,KC,BUF,14,7,2.0,49.5,-6.113565413992067,-0.5408032621463619,P.Mahomes,J.Allen,-3.9159355835800223,-0.9579677917900111
2023_14_DEN_LAC,2023-12-10,Sunday,LAC,DEN,7,7,3.0,45.0,5.0398819826269765,-1.6432152702360519,E.Stick,R.Wilson,8.33992382112871,5.669961910564355
2023_14_PHI_DAL,2023-12-10,Sunday,DAL,PHI,7,10,3.5,52.5,3.7145369801378756,0.019751493536549702,D.Prescott,J.Hurts,5.351612054867008,4.425806027433504
2023_14_TEN_MIA,2023-12-11,Monday,MIA,TEN,8,8,14.0,45.0,-1.2327813019879912,-0.1415510104569755,T.Tagovailoa,R.Tannehill,0.565596276734667,7.282798138367333
2023_14_GB_NYG,2023-12-11,Monday,NYG,GB,8,15,-6.0,37.5,2.308433199181124,3.521093068923495,T.Taylor,J.Love,0.4441666985233117,-2.7779166507383444
