game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number
2023_18_PIT_BAL,2024-01-06,Saturday,BAL,PIT,6,6,-3.0,34.0,-3.7923957866117672,1.5793157959389283,L.Jackson,M.Rudolph,-3.7148850142850125,-3.3574425071425065
2023_18_HOU_IND,2024-01-06,Saturday,IND,HOU,6,6,-1.5,47.5,1.0626942042449548,-1.1693864395357672,G.Minshew,C.Keenum,3.8889072120464045,1.1944536060232023
2023_18_TB_CAR,2024-01-07,Sunday,CAR,TB,7,7,-5.0,36.5,-0.1765322685641877,2.3160055529350707,B.Young,B.Mayfield,-0.8357112532335758,-2.917855626616788
2023_18_CLE_CIN,2024-01-07,Sunday,CIN,CLE,10,7,7.5,37.0,5.022605252995575,-2.2876927634374873,J.Browning,J.Flacco,8.967124584698745,8.233562292349372
2023_18_MIN_DET,2024-01-07,Sunday,DET,MIN,7,8,3.5,47.5,-1.9765962360789366,0.30706224998269604,J.Goff,N.Mullens,-0.62683191779595,1.436584041102025
2023_18_NYJ_NE,2024-01-07,Sunday,NE,NYJ,10,7,2.5,28.5,0.5014912856228584,2.0431587850105224,B.Zappe,T.Siemian,0.11515906887801863,1.3075795344390093
2023_18_ATL_NO,2024-01-07,Sunday,NO,ATL,7,7,3.5,41.5,-0.14811253759108212,-4.653154433780546,D.Carr,T.Heinicke,6.1618684644551465,4.830934232227573
2023_18_JAX_TEN,2024-01-07,Sunday,TEN,JAX,7,7,-3.5,41.5,-0.6649162826588544,1.9241784146684928,R.Tannehill,T.Lawrence,-0.9322681290616646,-2.2161340645308325
2023_18_SEA_ARI,2024-01-07,Sunday,ARI,SEA,7,7,-2.5,48.0,5.438534831047896,-3.8174867064769415,K.Murray,G.Smith,10.91284810579052,4.20642405289526
2023_18_CHI_GB,2024-01-07,Sunday,GB,CHI,7,7,2.5,45.5,2.8947480987450547,-3.7729763836470163,J.Love,J.Fields,8.324551050657753,5.412275525328877
2023_18_KC_LAC,2024-01-07,Sunday,LAC,KC,7,7,3.5,35.0,4.661160906028801,-5.510924148034476,E.Stick,P.Mahomes,11.82891162232896,7.66445581116448
2023_18_DEN_LV,2024-01-07,Sunday,LV,DEN,7,7,3.5,37.5,2.0225068573126954,-2.2772342513804027,A.O'Connell,R.Wilson,5.95656767695878,4.72828383847939
2023_18_PHI_NYG,2024-01-07,Sunday,NYG,PHI,7,7,-4.5,43.0,1.7593820142452294,-0.8201591671238582,T.Taylor,J.Hurts,4.23636774963477,-0.1318161251826151
2023_18_LA_SF,2024-01-07,Sunday,SF,LA,7,7,5.5,40.0,-2.2745975431332077,-0.6768939277373995,B.Purdy,M.Stafford,0.05912295286987446,2.779561476434937
2023_18_DAL_WAS,2024-01-07,Sunday,WAS,DAL,8,7,-13.0,47.5,-5.527472473523172,3.8258600439583006,S.Howell,D.Prescott,-7.696505949215791,-10.348252974607895
2023_18_BUF_MIA,2024-01-07,Sunday,MIA,BUF,7,7,-2.5,47.5,-1.4357969549486143,-0.6470311824289325,T.Tagovailoa,J.Allen,0.8680607957460009,-0.8159696021269995
